arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_acc_0103.png,tância,tancia,real0103,458,-1,True,circunflexo,acima,1,True,236,0.73981,0.14899,False,,,,,,,,0.73981,,
real_acc_0104.png,secundário,secundario,real0104,386,-1,True,agudo,acima,6,True,308,0.62348,0.17949,False,,,,,,,,0.62348,,
real_acc_0105.png,dominação,dominacao,real0105,894,-1,True,cedilha,abaixo,6,True,100,0.26882,0.14535,False,,,,,,,,0.26882,,
real_acc_0105.png,dominação,dominacao,real0105,894,-1,True,til,acima,7,True,145,0.42899,0.10878,False,,,,,,,,0.42899,,
real_acc_0106.png,dinâmicas,dinamicas,real0106,894,-1,True,circunflexo,acima,3,True,200,0.32626,0.11905,False,,,,,,,,0.32626,,
real_acc_0107.png,Cemitério,Cemiterio,real0107,209,-1,True,agudo,acima,5,True,412,1.42069,0.18311,False,,,,,,,,1.42069,,
real_acc_0108.png,doença,doenca,real0108,116,-1,True,cedilha,abaixo,4,True,222,0.6361,0.37,False,,,,,,,,0.6361,,
real_acc_0109.png,fância,fancia,real0109,388,-1,True,circunflexo,acima,1,True,343,0.5924,0.17323,False,,,,,,,,0.5924,,
real_acc_0110.png,cidadãos,cidadaos,real0110,459,-1,True,til,acima,5,True,248,0.30542,0.19777,False,,,,,,,,0.30542,,
real_acc_0111.png,falácia,falacia,real0111,348,-1,True,agudo,acima,3,True,310,0.78283,0.2013,False,,,,,,,,0.78283,,
real_acc_0112.png,emoções,emocoes,real0112,247,-1,True,cedilha,abaixo,3,True,92,0.14353,0.09583,False,,,,,,,,0.14353,,
real_acc_0112.png,emoções,emocoes,real0112,247,-1,True,til,acima,4,True,130,0.22569,0.0938,False,,,,,,,,0.22569,,
real_acc_0113.png,ignorância,ignorancia,real0113,241,-1,True,circunflexo,acima,5,True,228,0.35514,0.12896,False,,,,,,,,0.35514,,
real_acc_0114.png,jurídico,juridico,real0114,114,-1,True,agudo,acima,3,True,86,0.35537,0.07963,False,,,,,,,,0.35537,,
real_acc_0115.png,aceitação,aceitacao,real0115,372,-1,True,cedilha,abaixo,6,True,36,0.05471,0.06207,False,,,,,,,,0.05471,,
real_acc_0115.png,aceitação,aceitacao,real0115,372,-1,True,til,acima,7,True,100,0.17544,0.07184,False,,,,,,,,0.17544,,
real_acc_0116.png,têm,tem,real0116,500,-1,True,circunflexo,acima,1,True,463,0.90607,0.19854,False,,,,,,,,0.90607,,
real_acc_0117.png,indivíduos,individuos,real0117,383,-1,True,agudo,acima,5,True,47,0.21364,0.02798,False,,,,,,,,0.21364,,
real_acc_0118.png,ças,cas,real0118,444,-1,True,cedilha,abaixo,0,True,121,0.73333,0.10577,False,,,,,,,,0.73333,,
real_acc_0119.png,convivência,convivencia,real0119,386,-1,True,circunflexo,acima,6,True,107,0.2702,0.07431,False,,,,,,,,0.2702,,
